Source_File,Split,Target_Window,Previous_Target,Target_Attack,Prediction
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:16:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:17:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:17:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:18:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:18:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:19:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:19:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:20:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:20:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:21:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:21:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:22:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:22:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:23:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:23:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:24:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:24:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:25:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:25:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:26:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:26:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:27:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:27:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:28:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:28:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:29:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:29:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:30:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:30:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:31:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:31:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:32:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:32:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:33:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:33:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:34:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:34:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:35:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:35:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:36:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:36:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:37:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:37:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:38:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:38:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:39:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:39:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:40:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:40:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:41:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:41:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:42:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:42:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:43:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:43:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:44:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:44:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:45:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:45:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:46:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:46:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:47:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:47:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:48:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:48:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:49:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:49:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:50:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:50:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:51:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:51:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:52:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:52:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:53:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:53:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:54:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:54:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:55:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:55:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:56:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:56:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:57:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:57:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:58:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:58:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:59:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 11:59:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:00:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:00:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:01:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:01:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:02:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:02:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:03:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:03:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:04:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:04:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:05:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:05:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:06:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:06:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:07:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:07:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:08:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:08:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:09:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:09:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:10:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:10:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:11:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:11:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:12:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:12:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:13:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:13:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:14:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:14:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:15:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:15:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:16:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:16:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:17:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:17:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:18:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:18:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:19:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:19:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:20:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:20:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:21:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:21:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:22:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:22:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:23:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:23:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:24:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:24:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:25:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:25:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:26:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:26:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:27:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:27:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:28:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:28:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:29:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:29:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:30:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:30:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:31:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:31:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:32:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:32:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:33:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:33:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:34:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:34:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:35:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:35:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:36:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:36:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:37:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:37:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:38:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:38:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:39:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:39:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:40:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:40:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:41:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:41:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:42:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:42:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:43:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:43:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:44:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:44:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:45:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:45:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:46:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:46:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:47:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:47:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:48:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:48:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:49:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:49:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:50:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:50:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:51:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:51:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:52:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:52:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:53:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:53:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:54:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:54:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:55:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:55:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:56:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:56:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:57:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:57:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:58:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:58:30,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:59:00,0,0,0
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-01 12:59:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:05:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:06:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:06:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:07:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:07:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:08:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:08:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:09:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:09:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:10:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:10:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:11:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:11:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:12:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:12:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:13:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:13:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:14:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:14:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:15:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:15:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:16:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:16:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:17:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:17:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:18:00,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:18:30,0,0,0
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-15 01:19:00,0,0,0
